customer_id,gender,age,state,product_id,category,brand,quantity,price_per_unit,total_amount,signup_date,signup_years,avg_spent,HighSpender
1,Female,31,CA,42,Fruits,BrandD,3,21.63,37.64207365077783,2016-10-16 17:23:25,8,12.54735788359261,0
1,Female,31,CA,138,Grains,BrandE,4,25.98,70.24710587172727,2016-10-16 17:23:25,8,17.561776467931818,0
1,Female,31,CA,403,Meats,BrandD,3,24.01,89.16889585975464,2016-10-16 17:23:25,8,29.72296528658488,0
1,Female,31,CA,193,Grains,BrandC,2,29.67,59.70505931112876,2016-10-16 17:23:25,8,29.85252965556438,0
1,Female,31,CA,26,Meats,BrandE,3,20.58,101.77886387225126,2016-10-16 17:23:25,8,33.92628795741709,0
1,Female,31,CA,357,Grains,BrandB,5,5.56,167.38440154387484,2016-10-16 17:23:25,8,33.476880308774966,0
1,Female,31,CA,192,Meats,BrandE,5,26.46,201.98834253689253,2016-10-16 17:23:25,8,40.397668507378505,0
2,Female,36,AZ,225,Meats,BrandB,5,3.21,82.87969346438778,2021-04-04 14:24:06,4,16.575938692877557,0
2,Female,36,AZ,218,Dairy,BrandB,5,12.6,230.93891243311947,2021-04-04 14:24:06,4,46.187782486623895,0
2,Female,36,AZ,176,Grains,BrandA,2,17.15,41.32577291026815,2021-04-04 14:24:06,4,20.662886455134075,0
2,Female,36,AZ,14,Fruits,BrandB,1,3.89,49.407459133126494,2021-04-04 14:24:06,4,49.407459133126494,0
2,Female,36,AZ,444,Fruits,BrandE,2,6.89,39.661526868045016,2021-04-04 14:24:06,4,19.830763434022508,0
2,Female,36,AZ,150,Grains,BrandB,3,22.39,30.6302692291152,2021-04-04 14:24:06,4,10.2100897430384,0
2,Female,36,AZ,55,Meats,BrandD,1,23.58,42.61748689307072,2021-04-04 14:24:06,4,42.61748689307072,0
2,Female,36,AZ,134,Fruits,BrandE,3,23.98,137.08249973105922,2021-04-04 14:24:06,4,45.694166577019736,0
2,Female,36,AZ,107,Dairy,BrandC,3,5.65,11.311573271738684,2021-04-04 14:24:06,4,3.7705244239128946,0
2,Female,36,AZ,415,Grains,BrandD,2,24.08,91.3159788324202,2021-04-04 14:24:06,4,45.6579894162101,0
2,Female,36,AZ,389,Fruits,BrandA,4,1.72,182.2416562759003,2021-04-04 14:24:06,4,45.56041406897508,0
2,Female,36,AZ,123,Dairy,BrandB,4,14.39,99.92195439364824,2021-04-04 14:24:06,4,24.98048859841206,0
3,Male,41,AZ,459,Fruits,BrandC,3,9.43,32.81843738399608,2018-04-22 04:51:57,6,10.939479127998693,1
3,Male,41,AZ,25,Dairy,BrandD,3,8.83,125.49925556355086,2018-04-22 04:51:57,6,41.83308518785029,1
3,Male,41,AZ,476,Fruits,BrandA,1,22.24,11.700881644800202,2018-04-22 04:51:57,6,11.700881644800202,1
3,Male,41,AZ,232,Fruits,BrandB,5,12.9,171.30018727097115,2018-04-22 04:51:57,6,34.26003745419423,1
3,Male,41,AZ,71,Dairy,BrandC,3,3.34,68.8606868345945,2018-04-22 04:51:57,6,22.953562278198167,1
3,Male,41,AZ,230,Grains,BrandB,4,2.9,191.00395657351183,2018-04-22 04:51:57,6,47.75098914337796,1
3,Male,41,AZ,213,Fruits,BrandC,4,16.79,128.96347256678524,2018-04-22 04:51:57,6,32.24086814169631,1
3,Male,41,AZ,127,Grains,BrandE,1,6.95,8.503418808214136,2018-04-22 04:51:57,6,8.503418808214136,1
3,Male,41,AZ,328,Meats,BrandB,3,11.71,65.14009103722114,2018-04-22 04:51:57,6,21.713363679073712,1
3,Male,41,AZ,6,Dairy,BrandA,5,2.7,244.7203119442381,2018-04-22 04:51:57,6,48.94406238884762,1
3,Male,41,AZ,24,Dairy,BrandD,5,14.36,211.87268272244427,2018-04-22 04:51:57,6,42.374536544488855,1
3,Male,41,AZ,349,Dairy,BrandD,3,5.87,56.784833952808825,2018-04-22 04:51:57,6,18.92827798426961,1
3,Male,41,AZ,252,Fruits,BrandD,2,2.94,4.122401442951305,2018-04-22 04:51:57,6,2.0612007214756525,1
3,Male,41,AZ,146,Fruits,BrandB,2,20.37,71.66954187514949,2018-04-22 04:51:57,6,35.834770937574746,1
4,Male,39,TX,327,Meats,BrandE,1,26.56,29.698496965794835,2018-07-06 17:45:14,6,29.698496965794835,1
4,Male,39,TX,305,Meats,BrandD,1,6.06,14.453941727047198,2018-07-06 17:45:14,6,14.453941727047198,1
4,Male,39,TX,35,Grains,BrandA,2,14.14,70.41846478874332,2018-07-06 17:45:14,6,35.20923239437166,1
4,Male,39,TX,378,Dairy,BrandE,1,5.73,43.52996749859884,2018-07-06 17:45:14,6,43.52996749859884,1
4,Male,39,TX,393,Grains,BrandB,2,19.51,42.40874524248973,2018-07-06 17:45:14,6,21.204372621244865,1
4,Male,39,TX,335,Dairy,BrandB,1,13.08,3.8224220683969103,2018-07-06 17:45:14,6,3.8224220683969103,1
4,Male,39,TX,329,Dairy,BrandD,1,3.24,8.306429528737489,2018-07-06 17:45:14,6,8.306429528737489,1
4,Male,39,TX,370,Meats,BrandA,1,21.7,39.81217167519199,2018-07-06 17:45:14,6,39.81217167519199,1
4,Male,39,TX,86,Meats,BrandA,2,2.5,88.12662081411254,2018-07-06 17:45:14,6,44.06331040705627,1
4,Male,39,TX,351,Meats,BrandD,3,23.25,127.87549314333944,2018-07-06 17:45:14,6,42.625164381113144,1
4,Male,39,TX,199,Meats,BrandD,4,26.53,166.6255900137933,2018-07-06 17:45:14,6,41.656397503448325,1
4,Male,39,TX,322,Dairy,BrandC,5,22.57,185.6809628174348,2018-07-06 17:45:14,6,37.13619256348696,1
4,Male,39,TX,348,Grains,BrandC,4,26.68,186.7967631223698,2018-07-06 17:45:14,6,46.69919078059245,1
4,Male,39,TX,299,Dairy,BrandB,3,22.88,60.54151257322162,2018-07-06 17:45:14,6,20.180504191073872,1
4,Male,39,TX,80,Meats,BrandB,4,11.56,77.85189511242356,2018-07-06 17:45:14,6,19.46297377810589,1
4,Male,39,TX,228,Dairy,BrandA,5,4.52,42.19568574795653,2018-07-06 17:45:14,6,8.439137149591307,1
4,Male,39,TX,94,Meats,BrandE,1,13.97,24.099638897117508,2018-07-06 17:45:14,6,24.099638897117508,1
4,Male,39,TX,215,Meats,BrandE,2,26.74,60.00134700014126,2018-07-06 17:45:14,6,30.00067350007063,1
5,Male,29,TX,234,Dairy,BrandC,4,21.57,151.406844284802,2018-03-11 01:43:10,7,37.8517110712005,0
5,Male,29,TX,107,Dairy,BrandC,2,5.65,90.11795885373196,2018-03-11 01:43:10,7,45.05897942686598,0
5,Male,29,TX,275,Meats,BrandD,4,7.13,189.11566054866907,2018-03-11 01:43:10,7,47.27891513716727,0
5,Male,29,TX,21,Grains,BrandB,5,26.72,148.58130396286822,2018-03-11 01:43:10,7,29.716260792573642,0
5,Male,29,TX,343,Meats,BrandE,3,4.3,48.2657227771364,2018-03-11 01:43:10,7,16.08857425904547,0
6,Male,44,CA,260,Fruits,BrandA,5,5.8,119.42789726463752,2020-07-29 19:11:28,4,23.885579452927505,0
6,Male,44,CA,270,Fruits,BrandC,1,28.96,40.34752240092938,2020-07-29 19:11:28,4,40.34752240092938,0
6,Male,44,CA,226,Fruits,BrandA,5,28.4,49.82904455063281,2020-07-29 19:11:28,4,9.965808910126562,0
6,Male,44,CA,350,Dairy,BrandA,3,10.88,8.904723800102335,2020-07-29 19:11:28,4,2.9682412667007783,0
6,Male,44,CA,274,Meats,BrandD,2,29.39,31.092000975080403,2020-07-29 19:11:28,4,15.546000487540201,0
6,Male,44,CA,447,Grains,BrandA,2,17.06,72.88116518140642,2020-07-29 19:11:28,4,36.44058259070321,0
6,Male,44,CA,332,Fruits,BrandE,1,20.42,10.513305797653826,2020-07-29 19:11:28,4,10.513305797653826,0
6,Male,44,CA,357,Grains,BrandB,2,5.56,15.079254301458802,2020-07-29 19:11:28,4,7.539627150729401,0
6,Male,44,CA,174,Dairy,BrandC,2,26.24,3.5730693639929085,2020-07-29 19:11:28,4,1.7865346819964543,0
6,Male,44,CA,427,Fruits,BrandA,1,6.19,25.407112383701943,2020-07-29 19:11:28,4,25.407112383701943,0
6,Male,44,CA,224,Grains,BrandC,4,4.55,114.53401750251024,2020-07-29 19:11:28,4,28.63350437562756,0
7,Male,38,NY,329,Dairy,BrandD,2,3.24,60.10281912250504,2018-01-02 08:22:41,7,30.05140956125252,1
7,Male,38,NY,109,Grains,BrandE,4,24.51,118.68935713890596,2018-01-02 08:22:41,7,29.67233928472649,1
7,Male,38,NY,362,Grains,BrandB,1,9.38,46.74914106158312,2018-01-02 08:22:41,7,46.74914106158312,1
7,Male,38,NY,326,Meats,BrandA,2,2.8,46.95625181584539,2018-01-02 08:22:41,7,23.478125907922696,1
7,Male,38,NY,115,Fruits,BrandE,4,28.09,55.311547226709095,2018-01-02 08:22:41,7,13.827886806677274,1
7,Male,38,NY,185,Fruits,BrandB,2,8.37,58.30181922516439,2018-01-02 08:22:41,7,29.150909612582193,1
7,Male,38,NY,114,Fruits,BrandB,2,20.65,65.55765677980858,2018-01-02 08:22:41,7,32.77882838990429,1
7,Male,38,NY,92,Grains,BrandB,1,15.06,14.962282499910309,2018-01-02 08:22:41,7,14.962282499910309,1
7,Male,38,NY,155,Dairy,BrandC,2,10.82,94.12848661282553,2018-01-02 08:22:41,7,47.06424330641276,1
7,Male,38,NY,130,Meats,BrandD,3,26.63,127.2193181557531,2018-01-02 08:22:41,7,42.40643938525103,1
7,Male,38,NY,83,Meats,BrandB,1,11.49,2.975293263519561,2018-01-02 08:22:41,7,2.975293263519561,1
7,Male,38,NY,343,Meats,BrandE,4,4.3,187.90781748861275,2018-01-02 08:22:41,7,46.97695437215319,1
7,Male,38,NY,188,Meats,BrandE,5,15.42,178.10789802006389,2018-01-02 08:22:41,7,35.62157960401278,1
7,Male,38,NY,106,Grains,BrandC,2,21.03,94.22059475149835,2018-01-02 08:22:41,7,47.11029737574918,1
7,Male,38,NY,482,Dairy,BrandC,3,2.82,103.14678771289974,2018-01-02 08:22:41,7,34.38226257096658,1
7,Male,38,NY,206,Fruits,BrandC,4,13.3,164.06588604804463,2018-01-02 08:22:41,7,41.01647151201116,1
8,Male,64,NY,475,Dairy,BrandD,1,14.34,10.74372878830441,2018-02-21 18:52:20,7,10.74372878830441,0
8,Male,64,NY,292,Dairy,BrandE,2,18.45,20.366638821264957,2018-02-21 18:52:20,7,10.183319410632478,0
8,Male,64,NY,271,Grains,BrandD,5,28.63,11.865119251133487,2018-02-21 18:52:20,7,2.3730238502266974,0
9,Female,56,PA,45,Meats,BrandB,1,21.45,37.304995121290666,2022-01-18 17:11:58,3,37.304995121290666,1
9,Female,56,PA,195,Dairy,BrandD,1,9.9,1.546734834857482,2022-01-18 17:11:58,3,1.546734834857482,1
9,Female,56,PA,290,Dairy,BrandD,2,19.32,83.47846261256126,2022-01-18 17:11:58,3,41.73923130628063,1
9,Female,56,PA,80,Meats,BrandB,3,11.56,81.8958710266161,2022-01-18 17:11:58,3,27.298623675538703,1
9,Female,56,PA,20,Meats,BrandB,3,1.0,59.09655674767954,2022-01-18 17:11:58,3,19.698852249226515,1
9,Female,56,PA,326,Meats,BrandA,2,2.8,46.25658554395462,2022-01-18 17:11:58,3,23.12829277197731,1
9,Female,56,PA,321,Grains,BrandE,4,13.73,170.014438855495,2022-01-18 17:11:58,3,42.50360971387375,1
9,Female,56,PA,90,Meats,BrandD,2,9.56,88.92572564779805,2022-01-18 17:11:58,3,44.46286282389902,1
9,Female,56,PA,143,Meats,BrandB,3,9.54,50.849552631318176,2022-01-18 17:11:58,3,16.94985087710606,1
